question_id,question_text,correct_answer,option1,option2,option3,category_id,difficulty
1055,"Which of the Master levels in ""Super Monkey Ball"" is also used in the arcade version of the game, simply named ""Monkey Ball""?",MASTER 9 - Bridge Master,MASTER 9 - Bridge Master,MASTER 3 - Stamina Master,MASTER 10 - Monkey Master,2,hard
1057,"Which Kingdom Hearts game featured the cast of ""The World Ends With You""?",Dream Drop Distance,Dream Drop Distance,Birth By Sleep,365/2 Days,2,hard
1058,What is the name of the virus that infected New York in Tom Clancy's The Division?,Dollar Flu,Dollar Flu,Ebola,Red Poison,2,hard
1059,"In Left 4 Dead, which campaign has the protagonists going through a subway in order to reach a hospital for evacuation?",No Mercy,Subway Sprint,Hospital Havoc,Blood Harvest,2,medium
1060,"In the Assassin's Creed series,what was the name of Desmond Miles given by Abstergo?",Subject 17,Subject 17,Subject 16,Subject 18,2,easy
1061,"Which of these is NOT a possible drink to be made in the game ""VA-11 HALL-A: Cyberpunk Bartender Action""?",Sour Appletini,Fringe Weaver,Piano Man,Bad Touch,2,hard
1063,"In Need for Speed: Most Wanted (2005), what was the name of the main antagonist?","Clarence ""Razor"" Callahan","Clarence ""Razor"" Callahan","Hector ""Ming"" Domingo","Toru ""Bull"" Sato",2,easy
1064,In which country's version of Half-Life are the HECU Marines replaced with robots?,Germany,Germany,Japan,China,2,medium
1065,"What is the real name of the Scout in ""Team Fortress 2""?",Jeremy,Jeremy,Lance,Walter,2,medium
1066,"In the ""Halo"" franchise, in what country is New Mombasa?",Kenya,Kenya,India,Turkey,2,medium
1067,"Which of these ""Worms"" games featured 3D gameplay?",Worms 4: Mayhem,Worms W.M.D,Worms Reloaded,Worms: Open Warfare 2,2,medium
1068,"In Night In The Woods, what is Mae Borowski mother's name?",Candy,Jenny,Candy,Margaret,2,medium
1069,Which of 2 Valve Games are set in the same universe?,Half-life and Portal,Portal and Left 4 Dead,Half-life and Portal,Half-life and Left 4 Dead,2,easy
1070,In Kingdom Hearts which of the following people can NOT wield a keyblade?,Larxene,Xehanort,Lea,Mickey,2,medium
1071,"In the game Pokémon Conquest, which warlord is able to bond with Zekrom and a shiny Rayquazza?",Nobunaga,Nobunaga,The Player,Oichi,2,medium
1072,"What is the name of the 4-armed Chaos Witch from the 2016 video game ""Battleborn""?",Orendi,Orendoo,Oranda,Orendi,2,easy
1073,Who is the main character in most of the games of the YS series?,Adol Christin,Character doesn't have a name,Adol Christin,Estelle Bright,2,medium
1074,What does IWHBYD stand for on the skull in the Halo series?,I Would Have Been Your Daddy,I Would Have Been Your Daddy,I Wanna Have Babies You Down,I Would Hate Being Your Driver,2,easy
1075,Marvel vs Capcom 2: New age of Heroes was released in what year?,2000,2001,2003,2000,2,medium
1076,"In Danganronpa: Trigger Happy Havoc, what is the protagonist's name?",Makoto Naegi,Hajime Hinata,Nagito Komaeda,Komaru Naegi,2,easy
1078,"Which company made the Japanese RPG ""Dragon Quest""?",Square Enix,Capcom,Konami,Blizzard,2,medium
1079,"In the SHMUP series, ""Darius"", what is the name of the antagonist faction you fight against?",Belsar,Belsar,Bacterion,Bydo,2,hard
1081,"What company created and developed the game ""Overwatch""?",Blizzard Entertainment,Blizzard Entertainment,Valve,Hi-Rez Studios,2,easy
1082,Who voices GLaDOS in the Portal games?,Ellen McLain,Ellen McLain,Michelle Forbes,Mary Kae Irvin,2,easy
1084,What animal is on Link's pajamas in The Legend of Zelda: The Wind Waker?,Crawfish,Crawfish,Lobster,Salmon,2,hard
1086,Which of these roles in Town of Salem is mafia?,Disguiser,Disguiser,Escort,Lookout,2,medium
1087,"In the first Left 4 Dead, you can play as either of these four characters.","Francis, Bill, Zoey, and Louis","Bender, Andrew, Allison, and Brian","Francis, Bill, Zoey, and Louis","Coach, Ellis, Nick, and Rochelle",2,medium
1088,"Which of the following is not a prosecutor in the ""Ace Attorney"" video game series?",Jake Marshall,Jake Marshall,Godot,Miles Edgeworth,2,medium
1089,"In The Elder Scrolls V: Skyrim, who is the jester in the dark brotherhood?",Cicero,Cicero,Lucien Lachance,Archimedes,2,medium
1090,"In the SHMUP series, ""Gradius"", what is the name of the antagonist faction you fight against?",Bacterion,Bydo,Bacterion,Belsar,2,hard
1093,In what year was Garry's Mod released as a standalone title on Valve's Steam distribution service?,2006,2006,2007,2004,2,easy
1094,"What household item make the characters of ""Steins; Gate"" travel through time?",Microwave,Computer,Refrigerator,Televison,2,easy
1095,"In ""Overwatch,"" what is the hero McCree's full name?",Jesse McCree,"Jack ""McCree"" Morrison",Gabriel Reyes,"Jamison ""Deadeye"" Fawkes",2,medium
1096,Who is the main protagonist in the game Life is Strange: Before The Storm?,Chloe Price,Max Caulfield,Rachel Amber,Chloe Price,2,easy
1097,"In ""Call Of Duty: Zombies"", what is the name of the Pack-A-Punched Crossbow?",Awful Lawton,Longinus,Awful Lawton,V-R11,2,easy
1098,"In the MMO RPG ""Realm of the Mad God"", what class is known for having the highest possible defense?",The Knight,The Wizard,The Archer,The Warrior,2,medium
1099,What is the name of the alien species introduced in Shadow the Hedgehog (2005)?,Black Arms,Black Arms,The Swarm,Black Hive,2,hard
1100,"In Terraria, which debuff does the ankh charm not provide immunity to?",Venom,Venom,Cursed,Bleeding,2,hard
1101,"In World of Warcraft lore, which of the following is known as the God of Spiders in the troll's loa beliefs?",Elortha no Shadra,Bwonsamdi,Elortha no Shadra,Hakkar,2,hard
1104,Which of these Pokémon cannot learn Surf?,Arbok,Linoone,Tauros,Arbok,2,hard
1105,What is the name of the main healing item in Dark Souls?,Estus Flask,Health Potion,Orange Juice,Ashen Flask,2,easy
1107,"In Animal Crossing, who is the manager of the town shop?",Tom Nook,Mr. Resetti,Gracie,Tom Nook,2,easy
1108,"What's the famous line Vaas says in ""Far Cry 3""?",Did I ever tell you the definition of Insanity?,Have I failed to entertain you?,You're my b*tch!,Did I ever tell you the definition of Insanity?,2,medium
1109,"In ""Xenoblade Chronicles 2"", Which party member cannot use normal blades?",Tora,Rex,Zeke,Nia,2,easy
1110,"Meryl Silverburgh, a video game character from the Metal Gear series, was originally a character in which game?",Policenauts,Gradius,Policenauts,Contra,2,hard
1111,The Touhou Project series of games is often associated with which genre?,Shoot 'em up,Shoot 'em up,Strategy,FPS,2,easy
1112,"How many games are there in the ""Colony Wars"" series for the PlayStation?",3,2,3,4,2,medium
1113,"In the beginning of the game ""Sonic Adventure"", what color Chaos Emerald does Tails own?",Purple,Red,Green,Purple,2,medium
1114,"What is the name of the only female ""Original Four"" Kerbal in Kerbal Space Program?",Valentina Kerman,Emiko Kerman,Valentina Kerman,Samantha Kerman,2,medium
1115,"In the ""Hitman"" series, what is the name of the main character?",Agent 47,Agent 27,Agent Smith,Agent 47,2,easy
1116,"The 'D' in the term ""D-Mail"" from the game ""Steins; Gate"" is short for what?",DeLorean,Deep,Demo,Dev,2,hard
1117,"In the 2014 Pokemon VGC Finals, which Pokemon was famous for bringing the winner to victory?",Pachirisu,Garchomp,Lapras,Primal Groudon,2,hard
1118,"Which day in ""Papers, Please"" does the man in red appear?",Day 23,Day 23,Day 20,Day 17,2,hard
1119,"In the video game ""Metal Gear Solid"", what did Revolver Ocelot consider the greatest handgun ever made?",Colt Single Action Army,Colt Python,Colt M1892,Colt Single Action Army,2,hard
1120,In which U.S. state is Far Cry 5's fictional setting 'Hope County' located?,Montana,Montana,Idaho,Wyoming,2,medium
1121,"On the 6th of June 2006, what was the name of the infamous glitch that occurred in the MMO RuneScape?",The Falador Massacre,Noclip glitch,Party-hat Duplication Glitch,The Falador Massacre,2,medium
1122,"In the lore of the PAYDAY series, which criminal was arrested and then latered rescued by the PAYDAY gang?",Hoxton,Dallas,Wolf,Chains,2,easy
1123,Phil Fish was the designer of which game?,Fez,Super Meat Boy,Hotline Miami,Fez,2,medium
1124,What year was the game Dishonored released?,2012,2011,2012,2008,2,easy
1125,"In the game The World Ends With You, all of these characters act as a game partner with Neku for a week except:",Rhyme,Rhyme,Shiki,Joshua,2,medium
1126,Who turns out to be the true victor in the Battle of Armageddon in Mortal Kombat?,Shao Kahn,Liu Kang,Shao Kahn,Shang Tsung,2,easy
1129,"The rights to the ""Rayman"" series are owned by which company?",Ubisoft,Nintendo,EA,Ubisoft,2,medium
1130,"In the Kingdom Hearts series, which is not an optional boss you can fight?",Master Yen Sid,Sephiroth,Master Yen Sid,Julius,2,hard
1132,"In the video game series ""Disgaea"", what word does the character Prinny have to include in all sentences they speak?","""Dood""","""Dood""","""Master""","""Plip""",2,medium
1133,What was the name of the Secret Organization in the Hotline Miami series?,50 Blessings,American Blessings,50 Saints,USSR's Blessings,2,medium
1134,Who was the first female protagonist in a video game?,Samus Aran,Lara Croft,Alis Landale,Chell,2,medium
1135,Who is Sora's Nobody in Kingdom Hearts?,Roxas,Roxas,Riku,Kairi,2,medium
1137,Who is able to grab the survivors with his tongue in Left 4 Dead?,Smoker,Jockey,Smoker,Hunter,2,easy
1138,What was the FIRST Valve game to have VR?,The Lab,Dota 2,Destinations,The Lab,2,medium
1139,Who is the main protagonist of Dead Space?,Isaac Clarke,Commander Shepard,Gordon Freeman,Isaac Clarke,2,easy
1142,"What is the name of Cream the Rabbit's mom in the ""Sonic the Hedgehog"" series?",Vanilla,Peach,Vanilla,Strawberry,2,medium
1143,"In ""Magicka"", which two elements are combined to cast the spell, ""Nullify""?",Arcane + Shield,Lightning + Shield,Lightning + Life,Arcane + Life,2,hard
1144,"In the video game DOTA 2, which of these is NOT a hero?",Dragon Champion,Dark Seer,Dragon Champion,Keeper of the Light,2,medium
1146,What is the first weapon you acquire in Half-Life?,A crowbar,A crowbar,A pistol,The H.E.V suit,2,easy
1147,"In the game Nuclear Throne, what organization chases the player character throughout the game?",The I.D.P.D,The I.D.P.D,The Fishmen,The Bandits,2,hard
1148,Who is the creator of Touhou project?,Zun,Jun,Zun,Twilight Frontier,2,easy
1149,"In ""Overwatch"", how much health does Roadhog's ""Take a Breather"" ability recover?",300,100,300,200,2,medium
1150,"Which of these stages is not playable in ""Super Smash Bros. for Wii U""?",Fountain of Dreams,Fountain of Dreams,Bridge of Eldin,75m,2,medium
1151,Who is the creator of the Super Smash Bros. Series?,Masahiro Sakurai,Reggie Fils-Aimé,Bill Trinen,Hideo Kojima,2,easy
1152,"Which puzzle game was designed by a Russian programmer, featuring Russian buildings and music?",Tetris,Jenga,Tetris,Boulder Dash,2,medium
1153,In which year was League of Legends released?,2009,2010,2009,2003,2,easy
1154,"In what Half-Life expansion can you find Gordon's picture in an ""Employee of the Month"" picture frame?",Half-Life: Opposing Force,Half-Life: Opposing Force,Half-Life: Blue Shift,Half-Life: Decay,2,medium
1156,Which Final Fantasy game consisted of a female-only cast of party members?,Final Fantasy X-2,Final Fantasy IX,Final Fantasy X-2,Final Fantasy V,2,easy
1157,"In ""Pokémon Sun and Moon"", Team Skull took over which town?",Po Town,Heahea City,Tapu Village,Po Town,2,hard
1158,How many flagship monsters appear in Monster Hunter Gernerations?,4,1,2,3,2,easy
1159,"What is the first primary weapon the player gets in ""PAYDAY: The Heist""?",AMCAR-4,AMCAR-4,Brenner 21,Reinbeck,2,medium
1160,How many differently shaped Tetris pieces are there?,7,5,6,8,2,easy
1161,What video game engine does the videogame Quake 2 run in?,iD Tech 2,iD Tech 3,iD Tech 1,Unreal Engine,2,easy
1162,"From the Meme Culture, which Mario game immerged ""Weegee""?",Mario is Missing! MS-DOS Version,Mario is Missing! SNES Version,Mario is Missing! NES Version,Mario is Missing! MS-DOS Version,2,medium
1163,"What device allows Tracer to manipulate her own time in the game ""Overwatch""?",Chronal Accelerator,B.L.I.N.K,Spacial Displacement Manipulator,Chronal Accelerator,2,hard
1164,"In ""Final Fantasy VI"", what is the name of (summoned) Gilgamesh's weakest attack?",Excalipoor,Excalipoor,Excalibore,Excalisnore,2,hard
1166,The creator of the Touhou Project series is:,ZUN,ZUN,SUN,RUN,2,medium
1167,"What animal is featured in ""Bloons TD Battles""?",Monkeys,Alligators,Pigeons,Monkeys,2,medium
1168,"In Telltale Games' ""The Walking Dead: Season One"" what is the name of Clementine's father?",Ed,Charles,Lee,Ed,2,medium
1170,"Who is the main character in ""The Stanley Parable""?",Stanley,The Adventure Line,The Narrator,The Boss,2,easy
1171,"Which of the following games in the Anno series introduced the ""Eco Balance"" gameplay mechanic?",Anno 2070,Anno 1404,Anno 2070,Anno 2205,2,medium
1172,What year was Super Mario Bros. released?,1985,1983,1987,1985,2,easy
1173,What character is NOT apart of the Grand Theft Auto series?,Michael Cardenas,Packie McReary,Tommy Vercetti,Michael Cardenas,2,medium
1174,How many times do you fight the Imprisoned in The Legend of Zelda: Skyward Sword?,3,2,4,3,2,medium
1175,"Who created Agent 47 in the game series ""Hitman""?",Dr. Otto Wolfgang Ort-Meyer,Professor Hertz Amadeus Schneider,Dr. Josef Mengele,Professor Otto Rothwinkler,2,medium
1176,How old is Chloe Price in Life is Strange: Before the Storm?,16,16,24,19,2,medium
1178,The name of the Metroid series comes from what?,An enemy in the game,The final boss's name,The main character's name,A spaceship's name,2,easy
1179,"What was the first video game in the Batman ""Arkham"" series?",Arkham Asylum,Arkham Knight,Arkham City,Arkham Origins,2,easy
1181,"In Splatoon 2's Hero Mode, which agent does the player take the role of?",Agent 4,Agent 1,Agent 2,Agent 3,2,medium
1182,What is the main ship used by Commander Shepard in the Mass Effect Franchise called?,Normandy,Normandy,Osiris,Infinity,2,easy
1183,"In Pokemon Diamond, Pearl and Platinum, where can a Munchlax be found?",Honey Trees,Trading with an NPC,Grass on Route 209,Honey Trees,2,medium
1184,What mainly favored rifle is used by the Terrorists in Counter Strike: Global Offensive?,AK-47,AK-74,M4A4,AK-47,2,medium
1185,"What is not a playable race in ""Final Fantasy XIV: A Realm Reborn""?",Hume,Hume,Miqo'te,Lalafell,2,medium
1186,Which of these characters is the mascot of the video game company SEGA?,Sonic the Hedgehog,Sonic the Hedgehog,Dynamite Headdy,Alex Kidd,2,easy
1187,Which of these is NOT a game under the Worms series?,Major Malfunction,Crazy Golf,Clan Wars,Major Malfunction,2,medium
1188,"Which car is NOT featured in ""Need for Speed: Hot Pursuit 2""?",Toyota MR2,Toyota MR2,Ford Crown Victoria,BMW Z8,2,medium
1189,What minimum level in the Defence skill is needed to equip Dragon Armour in the MMO RuneScape?,60,65,55,60,2,easy
1190,How many normal endings are there in Cry Of Fear's campaign mode?,4,5,3,6,2,medium
1192,Which one of these games wasn't released in 2016?,Metal Gear Solid V,Tom Clancy's The Division,Metal Gear Solid V,Killing Floor 2,2,medium
1193,Who is the main villain of the Crash Bandicoot series?,Dr. Neo Cortex,Dr. Evo-Cortex,Dr. Cortox,Dr. Neo Cortex,2,medium
1194,"What is the name of the child performing the Black Sacrament, in The Elder Scrolls V: Skyrim?",Aventus Aretino,Aventus Aretino,Proventus Avenicci,Aval Atheron,2,medium
1195,Which one of these characters was first introduced in Sonic Boom: Rise of Lyric?,Sticks the Badger,Sticks the Badger,Mighty the Armadillo,Espio the Chameleon,2,medium
1196,How many playable characters were there in Street Fighter II: Champion Edition?,12,16,12,8,2,medium
1197,Where are Terror Fiends more commonly found in the Nintendo game Miitopia?,New Lumos,New Lumos,Peculia,The Sky Scraper,2,hard
1198,What is the name the location-based augmented reality game developed by Niantic before Pokémon GO?,Ingress,Aggress,Regress,Digress,2,medium
1199,"In WarioWare: Smooth Moves, which one of these is NOT a Form?",The Hotshot,The Hotshot,The Discard,The Elephant,2,medium
1200,"In the Portal series, Aperture Science was founded under what name in the early 1940s?",Aperture Fixtures,Aperture Lavatories,Aperture Science Innovators,Aperture Fixtures,2,medium
1202,What is the name of the protagonist of Life Is Strange?,Max Caulfield,Max Caulfield,Frank Bowers,Rachel Amber,2,medium
1204,Who made Garry's Mod?,Garry Newman,Randy Newman,Facepunch Studios,Garry Newman,2,easy
1205,"In Fallout: New Vegas, which one of these casinos can you not play in?",Lucky 38,The Tops,Gammorah,Ultra-Luxe,2,easy
1207,"The map featured in Arma 3 named ""Altis"" is based off of what Greek island?",Lemnos,Ithaca,Naxos,Lemnos,2,hard
1208,"What is the name of the creature that the main character befriends in ""The Last Guardian""?",Trico,Nico,Trico,Wolf,2,medium
1209,In which game did the Konami Code make its first appearance?,Gradius,Contra,Castlevania,Dance Dance Revolution,2,medium
1210,"Which character does the player play as in the video game ""Bastion""?",The Kid,Rucks,Zulf,Zia,2,medium
1211,What is the last name of the primary female protagonist of Final Fantasy VIII?,Heartilly,Heartilly,Loire,Almasy,2,easy
1212,"In ""Kingdom Hearts"", who abducts Jasmine in the Lamp Chamber?",Riku,Riku Replica,Xaldin,Riku,2,medium
1213,"Which stage was planned to be a part of ""Sonic the Hedgehog 2"", but was scrapped during development?",Genocide City Zone,Genocide City Zone,Stardust Speedway Zone,Sky High Zone,2,medium
1214,Which water-type Pokémon starter was introduced in the 4th generation of the series?,Piplup,Totodile,Oshawott,Piplup,2,easy
1215,Who is the main villain in Bendy and the ink machine?,Bendy,Joey Drew,Alice,Boris,2,easy
1217,"During the events of Half-Life: Opposing Force, what is the age of Adrian Shephard, the protagonist?",22,23,21,22,2,medium
1218,Which of the following is not a playable race in the MMORPG Guild Wars 2?,Tengu,Sylvari,Tengu,Charr,2,medium
1220,"In Halo 2, how many rounds does the M6C hold in a single magazine?",12,6,36,12,2,hard
1222,"In the co-op shooter Payday 2, which contact helps you break out Hoxton?",The Dentist,Vlad,The Elephant,The Dentist,2,medium
1223,What was the first interactive movie video game?,Astron Belt,Astron Belt,Dragon's Lair,Cube Quest,2,medium
1225,"In the Half-Life franchise, what is the real name of the ""gravity gun""?",Zero-Point Energy Field Manipulator,Universal Gravity Manipulation Device,Zero-Point Energy Field Manipulator,Isaac Newton's Theory Disprover,2,medium
1226,Which of these video game series have NOT had a promotional item appear in Team Fortress 2?,Half-Life,Quake,The Binding of Isaac,Half-Life,2,medium
1227,How many classes are there in Team Fortress 2?,9,10,8,9,2,medium
1228,"Which character in the ""Animal Crossing"" series uses the phrase ""zip zoom"" when talking to the player?",Scoot,Drake,Bill,Mallary,2,easy
1229,"What is the name of the common, gun-toting enemies of the ""Oddworld"" video game series?",Sligs,Scrabs,Slogs,Glukkons,2,medium
1231,"In the game ""Brawlhalla"", what species is the character Bödvar is?",Half Human / Half Bear,Half Human / Half Bear,A Human,Half Wolf / Half Bear,2,medium
1232,"In PROTOTYPE 2. who is referred to as ""Tango Primary""?",James Heller,Alex Mercer,Dana Mercer,James Heller,2,easy
1233,In what year was Hearthstone released?,2014,2011,2013,2012,2,easy
1235,Aperture Science CEO Cave Johnson is voiced by which American actor?,J.K. Simmons,J.K. Simmons,Nolan North,John Patrick Lowrie,2,easy
1236,What is the browser game Kantai Collection heavily inspired by?,Second World War,Second World War,Manga,World of Warcraft,2,medium
1237,"Which of these is not a wonder weapon in ""Call Of Duty: Zombies""?",R115 Resonator,R115 Resonator,GKZ-45 Mk3,Ray Gun,2,easy
1238,"In the game Enter the Gungeon, which one of these is not a playable character?",The Wizard,The Bullet,The Robot,The Cultist,2,hard
1240,What is the title of song on the main menu in Halo?,Halo,Opening Suite,Shadows,Suite Autumn,2,easy
1241,"What are Sans and Papyrus named after in ""Undertale""?",Fonts,Plants,Companies,Ancient writing paper,2,easy
1242,"In Terraria, which of these items is NOT crafted at a Mythril Anvil?",Ankh Charm,Venom Staff,Sky Fracture,Orichalcum Tools,2,medium
1243,Which of these games was NOT developed by Markus Persson?,Dwarf Fortress,Dwarf Fortress,Minecraft,Wurm Online,2,hard
1245,Which of these is NOT a player class in Team Fortress 2?,Healer,Healer,Demoman,Pyro,2,easy
1246,"In Pokemon Red & Blue, what is the name of HM05?",Flash,Flash,Strength,Cut,2,easy
1249,"In what year was the game ""Fallout"" released?",1997,1997,1998,1999,2,easy
1250,"Without enchantments, which pickaxe in minecraft mines blocks the quickest.",Golden,Diamond,Iron,Golden,2,medium
1253,"In the game ""Fire Emblem: Shadow Dragon"", what is the central protagonist's name?",Marth,Marth,Roy,Eliwood,2,easy
1254,Which of the following Pokémon games released first?,Pokémon Crystal,Pokémon Platinum,Pokémon Crystal,Pokémon FireRed,2,medium
1255,"What year did the game ""Overwatch"" enter closed beta?",2015,2013,2011,2016,2,easy
1256,"In the Super Smash Bros. series, which character was the first one to return to the series after being absent from a previous game?",Dr. Mario,Mewtwo,Lucas,Dr. Mario,2,easy
1257,"In Call of Duty: Modern Warfare 2, how many consecutive kills does it require to earn the ""Tactical Nuke"" killstreak?",25,25,20,30,2,medium
1258,Which eSports team came first place in The International Dota 2 Championship 2016?,Wings Gaming,Digital Chaos,Wings Gaming,Evil Geniuses,2,easy
1259,"Who is the main character of ""Metal Gear Solid 3""?",Naked Snake,Solid Snake,Liquid Snake,Venom Snake,2,medium
1260,The '64' in the Nintendo-64 console refers to what?,The bits in the CPU architecture,The number of megabytes of RAM,Capacity of the ROM Cartridges in megabytes,The bits in the CPU architecture,2,medium
1261,"Which one of the first four titles of the ""Grand Theft Auto"" franchise started the series of iconic image grid cover arts?",Grand Theft Auto III,Grand Theft Auto,Grand Theft Auto III,Grand Theft Auto II,2,medium
1262,"In ""Call Of Duty: Zombies"", ""Richtofen"" is in possession of two filled blood vials belonging to who?",Sal DeLuca and Finn O'Leary,Richtofen,Al Arlington and Sal DeLuca,Sal DeLuca and Finn O'Leary,2,hard
1263,From where does the Nintendo video game character Mario derive his name?,The landlord of the American headquarters,Shigeru Miyamoto's father in law,The landlord of the American headquarters,Satoru Iwata's plumber,2,medium
1271,Which soccer player is featured on the cover of EA Sport's FIFA 18?,Cristiano Ronaldo,Lionel Messi,Neymar,Harry Kane,2,medium
1272,Who is the main protagonist in Danganronpa 2: Goodbye Despair?,Hajime Hinata,Nagito Komaeda,Makoto Naegi,Hajime Hinata,2,easy
1273,Which of the following was a map that was in Team Fortress 2 at launch?,Gravel Pit,Hoodoo,Gold Rush,Upward,2,easy
1275,Which company developed and published Game Dev Tycoon?,Greenheart Games,Greenheart Games,Greenland Games,The Tycoonists,2,medium
1276,"In the fighting game ""Skullgirls,"" which character utilizes a folding chair called the ""Hurting"" as a weapon?",Beowulf,Big Band,Beowulf,Squigly,2,easy
1277,Who is the leader of Team Instinct in Pokémon Go?,Spark,Candela,Spark,Blanche,2,easy
1278,"In Final Fantasy XIV, what is the name of the Deep Dungeon that was introduced in the expansion pack, Heavensward?",Palace of the Dead,Heaven on High,Aetherochemical Research Facility,Palace of the Dead,2,easy
1281,What is the AK-47's name in Counter Strike: Source?,CV-47,AK-74,CV-47,AK,2,medium
1283,How many partners can you obtain in Paper Mario: The Thousand-Year Door?,7,6,9,10,2,hard
1285,What's the Team Fortress 2 Scout's city of origin?,Boston,Sydney,Detroit,Boston,2,easy
1287,"Before it's redesign of the company logo in the year 2000, which 3D shape is NOT represented in the Electronic Arts logo?",Cylinder,Pyramid,Cube,Cylinder,2,easy
1288,What type of Pokémon is Charizard?,Fire/Flying,Fire,Fire/Flying,Dragon,2,easy
1290,"According to the lore of ""Starbound"", what does the ""Colony Deed"" do when it is placed down?",Sends out an advertisement for someone to move in.,Teleports somebody from somewhere on the planet it is placed.,Sends out an advertisement for someone to move in.,Teleports a random person to the location.,2,hard
1291,What are the names of the Ice Climbers in the video game Ice Climber?,Popo and Nana,Popo and Nana,Popo and Nina,Papi and Nana,2,medium
1294,"In Fallout: New Vegas, upon starting each one of the four campaign DLCs, which one of them does not have a warning screen/recommended level?",Honest Hearts,Old World Blues,Honest Hearts,Lonesome Road,2,medium
1297,What ingredient is NOT used to craft a cake in Minecraft?,Bread,Bread,Wheat,Milk,2,easy
1298,"According to Overwatch's lore, who was once a member of the Deadlock Gang?",McCree,Roadhog,McCree,Soldier 76,2,medium
1299,"In Counter Strike: Global Offensive, what is the code implanted onto the C4 as the Terrorists plant the bomb?",7355608,7355608,7890728,7256380,2,hard
1300,"In ""Halo"", what is the name of the planet which Installation 04 orbits?",Threshold,Substance,Sanghelios,Threshold,2,hard
1301,"What is the name of the currency in the ""Animal Crossing"" series?",Bells,Sea Shells,Bells,Leaves,2,medium
1302,Which of these games was NOT a Nintendo Switch launch title in the United States?,Voez,Just Dance 2017,Snipperclips,Fast RMX,2,medium
1303,"Which of these features was added in the 1994 game ""Heretic"" that the original ""DOOM"" could not add due to limitations?",Looking up and down,Increased room sizes,Unlimited weapons,Highly-detailed textures,2,medium
1304,"What were the first two blocks in ""Minecraft""?",Grass and Cobblestone,Grass and Stone,Crafting Table and Cobblestone,Grass and Cobblestone,2,easy
1305,Which of these video game engines was made by the company Epic Games?,Unreal,Unity,Unreal,Game Maker: Studio,2,easy
1307,Which was the first M-rated video game developed by Squaresoft/Square Enix?,Parasite Eve,Final Fantasy VIII,Front Mission,Vagrant Story,2,hard
1308,"""The Potato Sack"" was a collection of indie games released on Steam in 2011 as a promotion for which game?",Portal 2,Left 4 Dead 2,Half-Life 3,Portal 2,2,easy
1309,"In the game Battleblock Theater, what was the name of the voice actor who voiced the narrator?",Will Stamper,Steve Blum,Richard Epcar,Yuri Lowenthal,2,easy
1310,"In the Mario series, which game introduced Mario's Backflip ability?",Donkey Kong (Gameboy),Super Mario 64,Super Mario 3D Land,Super Mario Galaxy,2,medium
1312,"In the game Danganronpa: Happy Trigger Havoc, the character Aoi Asahina's ultimate ability is what?",Ultimate Swimmer,Ultimate Swimmer,Ultimate Detective,Ultimate Gambler,2,hard
1314,When was the Sega Genesis released in Japan?,"October 29, 1988","October 29, 1988","August 14, 1989","November 30, 1990",2,medium
1316,"In ""Fallout 4"", what is the name of the dog you find at Red Rocket truck stop?",Dogmeat,Dogmeat,Sparky,Quazar,2,medium
1318,Which variant of the MP5 is depicted in Counter-Strike 1.6?,MP5N,MP5SD,MP5N,MP5K,2,hard
1321,What was the nickname of the original model for Half-Life's protagonist Gordon Freeman?,Ivan the Space Biker,Gordon the Space Biker,Ivan the Alien Biker,Gordon the Alien Biker,2,hard
1322,When was Final Fantasy XV released?,"November 29th, 2016","October 25th, 2016","December 31th, 2016","November 29th, 2016",2,medium
1325,"Which of these is the only fighter in the game ""Super Smash Bros. Melee"" capable of dealing damage with their taunt animation?",Luigi,Luigi,Mr. Game & Watch,Jigglypuff,2,medium
1326,"Which of the following is a class in the game ""Hearthstone""?",Priest,Priest,Sage,Cleric,2,easy
1328,"What's the name of the main protagonist in the ""Legend of Zelda"" franchise?",Link,Link,Mario,Zelda,2,easy
1329,"What is the name of the first boss the player encounters in the 2017 game, ""Little Nightmares""?",The Janitor,The Warden,The Janitor,The Caretaker,2,medium
1330,What is the full name of the protagonist from the SNES game Clock Tower?,Jennifer Simpson,Jennifer Barrows,Jennifer Simpson,Jennifer Cartwright,2,medium
1331,"Which Sonic the Hedgehog game was originally supposed to be packaged with Sonic 3, but was cut in half due to time constraints?",Sonic & Knuckles,Sonic 2,Sonic CD,Sonic 3D Blast,2,easy
1332,When was Left 4 Dead 2 released?,"November 17, 2009","November 17, 2009","May 3, 2008","November 30, 2009",2,easy
1333,What two characters from the game Undertale are never in a relationship or not related?,Frisk & Chara,Sans & Papyrus,Toriel & Asgore,Alphys & Undyne,2,medium
1334,"What name did ""Mario"", from ""Super Mario Brothers"", originally have?",Ossan,Jumpman,Mr. Video,Ossan,2,medium
1335,"In Grand Theft Auto V, what was Michael De Santa's former surname?",Townley,De Santos,Townley,Watson,2,easy
1336,"In ""Call Of Duty: Zombies"", which map introduced the perk ""PhD Flopper""?",Ascension,Moon,Call Of The Dead,Ascension,2,medium
1337,The original Planetside was released in North America on...,"May 20, 2003","June 17, 2001","September 29, 2003","January 14, 2005",2,medium
1338,"Which of these characters in ""Undertale"" can the player NOT go on a date with?",Toriel,Papyrus,Undyne,Alphys,2,hard
1339,Which of the following games has the most playable characters?,Timesplitters: Future Perfect,Mortal Kombat: Armageddon,Marvel Vs. Capcom 2,Timesplitters: Future Perfect,2,medium
